interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;11964.00;DEFAULT_EDGEDATA;4055;13.37;0;4055;857;0;0;6.68;0;3.34;1.39;4853.45;25.36;0.87;577.42;1.20;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.29;0;100;86;0;0;0.14;100;0.07;1.49;131.93;28.86;0.99;0.01;1.32;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;122.81;0;3996;862;0;0;30.70;3996;15.35;44.61;170924.96;2.72;0.09;154771.02;42.77;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;4.77;0;1517;864;0;0;2.38;1517;1.19;0.88;1048.33;26.60;0.92;78.51;0.69;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;0.03;0;12;865;0;0;0.02;12;0.01;1.22;12.54;28.89;0.99;0.00;1.05;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.30;0;2229;869;0;0;2.43;2229;1.22;1.16;2148.86;25.53;0.88;238.68;0.96;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.42;0;488;87;0;0;0.71;488;0.35;0.66;237.38;28.76;0.99;0.06;0.49;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;1.35;0;444;871;0;0;0.67;444;0.34;1.02;372.19;27.56;0.95;15.55;0.84;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;59.70;0;3896;873;0;0;14.93;3896;7.46;24.20;90695.08;5.45;0.19;73469.50;23.28;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;140.11;0;3900;876;0;0;35.03;3900;17.51;7.73;21774.65;2.33;0.08;20015.64;5.58;0.00
0.00;11964.00;DEFAULT_EDGEDATA;100;0.29;0;100;877;0;0;0.29;0;0.14;0.24;6.34;28.87;0.99;0.01;0.06;0.00
