node_id;node_x;node_y
1614922792;-118.2220189;34.0482474
36729585;-118.2211663;34.0427056
268649211;-118.2471077;34.0602811
2974954237;-118.2211876;34.0547226
2974954238;-118.2208869;34.054902
268538632;-118.2124307;34.0561825
279044881;-118.2306522;34.053479
268538649;-118.212774;34.0563034
268538650;-118.2130304;34.0563787
268538665;-118.2133308;34.0564498
268538666;-118.2136742;34.0565209
283382571;-118.2156805;34.0626581
268538668;-118.2146784;34.0565494
283382572;-118.2157553;34.0629264
268538667;-118.2140518;34.0565707
283382575;-118.2159275;34.063625
268538675;-118.212464;34.0559449
911278917;-118.2151053;34.0602447
1614922811;-118.222611;34.0504522
20972369;-118.2395618;34.0552723
20972370;-118.2421453;34.0568794
20972371;-118.2362735;34.0536809
20972376;-118.2211302;34.0434514
1614922816;-118.2229853;34.0509687
283382628;-118.2158497;34.063282
283382636;-118.2160235;34.0641306
283382639;-118.2158375;34.0623968
363467641;-118.2161393;34.0443431
268538746;-118.2132879;34.0563076
268538745;-118.2129274;34.0561512
268538748;-118.2138716;34.0564925
268538749;-118.2140862;34.0565209
268538747;-118.2136312;34.0564356
268538752;-118.2149359;34.0565209
268538753;-118.2153049;34.0564285
268538754;-118.2160002;34.0562009
268538755;-118.2171417;34.0558169
268538756;-118.2177082;34.0556178
268538757;-118.2180773;34.0555183
268538758;-118.2184893;34.0554614
268538759;-118.2191502;34.0553903
15717259;-118.2376127;34.0555701
319435660;-118.2417454;34.0564542
319435661;-118.2411061;34.0559754
319435662;-118.2409601;34.0558332
319435665;-118.2404194;34.0552217
1621320600;-118.2053687;34.0540481
268649369;-118.2470684;34.0604521
1621320604;-118.205003;34.0541517
1621320606;-118.2045075;34.0543566
319435679;-118.2403078;34.0550937
1621320608;-118.200771;34.0545681
319435680;-118.2402048;34.0549941
1621320610;-118.2007368;34.0546388
353034882;-118.1997145;34.0554194
1621320612;-118.2007005;34.054676
319435681;-118.2398486;34.0546211
353034884;-118.2015599;34.0551706
1621320618;-118.200628;34.0547007
1621320619;-118.2036977;34.0547053
1621320622;-118.1994792;34.0549448
353034885;-118.2020062;34.0550923
1621320624;-118.203096;34.0549587
1621320626;-118.198796;34.0550864
353034886;-118.202401;34.0549999
1621320628;-118.2027829;34.0550632
1621320630;-118.1981811;34.055189
1621320632;-118.2022849;34.0551794
1621320634;-118.1976088;34.0552686
1621320643;-118.2018236;34.0552639
1371866052;-118.2250999;34.0525764
1621320645;-118.1968722;34.0553482
1621320647;-118.1851094;34.0553699
1621320648;-118.2011845;34.0553998
1621320649;-118.201038;34.0554373
268649418;-118.2468425;34.0602104
1621320651;-118.1843204;34.055502
1621320652;-118.2008765;34.0555524
1621320653;-118.1837008;34.0556186
319435726;-118.2407849;34.0556597
268649419;-118.2463378;34.0597261
268538832;-118.2253278;34.0528922
268649420;-118.2458373;34.0592984
1621320658;-118.2008221;34.0556412
268538835;-118.2232357;34.0513227
268538836;-118.2234159;34.0515645
1621320660;-118.1834239;34.0556976
268538838;-118.2238708;34.0520054
1621320663;-118.2008116;34.0557288
268538837;-118.2236048;34.0517778
1621320665;-118.1831539;34.0557991
1621320667;-118.2008252;34.0558013
1621320670;-118.2008554;34.0558751
1621320671;-118.1847554;34.0559157
1621320675;-118.2009112;34.0559414
1614922729;-118.2208779;34.036844
1621320682;-118.2010109;34.0560039
1614922731;-118.2211591;34.0370442
1614922730;-118.2210312;34.0369218
1614922732;-118.2212444;34.0371743
1614922734;-118.2213328;34.0375425
1614922733;-118.2212988;34.0372935
1614922736;-118.2213501;34.0379748
1614922738;-118.2186771;34.0411291
1614922739;-118.2211943;34.0411851
1614922740;-118.2210103;34.0416646
1621320692;-118.2014502;34.0561978
1614922741;-118.2175847;34.0418306
1614922742;-118.2181752;34.0420343
